ID,Date,Basin,Region,Pollutant,Concentration,MPC,water_body,water_body_type,station,source_bulletin
172,2024-10-31,Nura-Sarysu,Karaganda,Copper,0.0047,0.001,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-10.pdf
173,2024-10-31,Nura-Sarysu,Karaganda,Oil Products,0.02,0.05,Қоқай көлі,lake,,Nura-Sarysu_2024-10.pdf
174,2024-10-31,Nura-Sarysu,Karaganda,Oil Products,0.02,0.05,Шолақ көлі,lake,,Nura-Sarysu_2024-10.pdf
175,2024-10-31,Nura-Sarysu,Karaganda,Oil Products,0.02,0.05,Есей көлі,lake,,Nura-Sarysu_2024-10.pdf
176,2024-10-31,Nura-Sarysu,Karaganda,Oil Products,0.02,0.05,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-10.pdf
177,2024-10-31,Nura-Sarysu,Karaganda,Oil Products,0.02,0.05,Теңіз көлі,lake,,Nura-Sarysu_2024-10.pdf
178,2024-10-31,Nura-Sarysu,Karaganda,Oil Products,0.059,0.05,Балкаш көлі,lake,,Nura-Sarysu_2024-10.pdf
179,2024-10-31,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-10.pdf
180,2024-10-31,Nura-Sarysu,Karaganda,Sulfates,330.0,500.0,Қоқай көлі,lake,,Nura-Sarysu_2024-10.pdf
181,2024-10-31,Nura-Sarysu,Karaganda,Sulfates,330.0,500.0,Шолақ көлі,lake,,Nura-Sarysu_2024-10.pdf
182,2024-10-31,Nura-Sarysu,Karaganda,Sulfates,349.0,500.0,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-10.pdf
183,2024-10-31,Nura-Sarysu,Karaganda,Sulfates,399.0,500.0,Есей көлі,lake,,Nura-Sarysu_2024-10.pdf
184,2024-10-31,Nura-Sarysu,Karaganda,Sulfates,900.0,500.0,Балкаш көлі,lake,,Nura-Sarysu_2024-10.pdf
185,2024-10-31,Nura-Sarysu,Karaganda,Sulfates,1879.0,500.0,Теңіз көлі,lake,,Nura-Sarysu_2024-10.pdf
186,2024-10-31,Nura-Sarysu,Karaganda,Zinc,0.005,0.01,Балкаш көлі,lake,,Nura-Sarysu_2024-10.pdf
187,2024-10-31,Nura-Sarysu,Karaganda,Zinc,0.0064,0.01,Қоқай көлі,lake,,Nura-Sarysu_2024-10.pdf
188,2024-10-31,Nura-Sarysu,Karaganda,Zinc,0.0069,0.01,Теңіз көлі,lake,,Nura-Sarysu_2024-10.pdf
189,2024-10-31,Nura-Sarysu,Karaganda,Zinc,0.0072,0.01,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-10.pdf
190,2024-10-31,Nura-Sarysu,Karaganda,Zinc,0.0083,0.01,Шолақ көлі,lake,,Nura-Sarysu_2024-10.pdf
191,2024-10-31,Nura-Sarysu,Karaganda,Zinc,0.0091,0.01,Есей көлі,lake,,Nura-Sarysu_2024-10.pdf
192,2024-06-30,Shu-Talas,Zhambyl,Nitrates,1.99197,45.0,Билікөл көлі,lake,,Shu-Talas_2024-06.pdf
193,2024-06-30,Shu-Talas,Zhambyl,Oil Products,0.06,0.05,Билікөл көлі,lake,,Shu-Talas_2024-06.pdf
194,2024-06-30,Shu-Talas,Zhambyl,Sulfates,524.0,500.0,Қарабалта өзені,river,,Shu-Talas_2024-06.pdf
195,2024-06-30,Shu-Talas,Zhambyl,Sulfates,682.0,500.0,Билікөл көлі,lake,,Shu-Talas_2024-06.pdf
196,2024-08-31,Shu-Talas,Zhambyl,Nitrates,2.257566,45.0,Билікөл көлі,lake,,Shu-Talas_2024-08.pdf
